transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
cosine squared phi sine phi d phi,$\cos^{2}\phi \sin\phi d\phi $,https://www.youtube.com/watch?v=phk05iSMezA,cosine square phi sine phi d phi,cosine square phi sine phi d phi.
four thirds pi a cubed,$\frac{4}{3}\pi a^{3}$,https://www.youtube.com/watch?v=phk05iSMezA,4 Purple,4 by 3 by a cubed.
 f of x plus delta x and y,"$f(x+\Delta x,y)$",https://www.youtube.com/watch?v=WfEQabCGAqI,"f of x, plus delta x, and y.",f of x plus delta x and y.
"f of x, y plus delta x times f sub x ","$f(x,y)+\Delta x\cdot f_{x}$",https://www.youtube.com/watch?v=WfEQabCGAqI,f of xy plus delta x times f sub x.,"f of x, y plus delta x times f sub x."
f sub y times delta y,$\displaystyle f_y \times\Delta y$,https://www.youtube.com/watch?v=WfEQabCGAqI,F sub y times delta y.,F sub y times delta y.
z equals x squared plus y squared ,$z=x^{2}+y^{2}$,https://www.youtube.com/watch?v=WfEQabCGAqI,x square plus y squared.,z equals x squared plus y squared.
partial r over partial u times delta u,$\displaystyle \frac{\partial r}{\partial u}\cdot\Delta u$,https://www.youtube.com/watch?v=WfEQabCGAqI,partial R of the partial U times delta U.,partial r over partial u times delta u.
z equals a cosine phi,"$z=a\,\cos\phi$",https://www.youtube.com/watch?v=WfEQabCGAqI,z equals a cosine field.,z equals a cosine phi.
delta A equals delta S times the cosine of alpha,$\Delta A=\Delta S(\cos\alpha)$,https://www.youtube.com/watch?v=WfEQabCGAqI,delta A equals delta S times the cosine of alpha.,delta A equals delta S times the cosine of alpha.
delta S is going to be one over cosine alpha,$\Delta S=\frac{1}{\cos\alpha}$,https://www.youtube.com/watch?v=WfEQabCGAqI,Delta S is going to be one of our cosine alpha.,delta S is going to be one over cosine alpha.
three times little n will be negative big N,$3\mathrm{n}=\mathrm{-}\mathrm{N}$,https://www.youtube.com/watch?v=WfEQabCGAqI,"Three times, little n will be negative begin.",3 times little n will be negative big N.
n over n dot i dy dz,$\displaystyle \frac{n}{n\cdot i}{dy}{dz}$,https://www.youtube.com/watch?v=WfEQabCGAqI,n over n dot i dy dc,"n over n dot i dy, dc."
z minus f of x y,"$z-f(x,y)$",https://www.youtube.com/watch?v=WfEQabCGAqI,Z minus f of xy.,"z minus f of x, y."
P sub x plus Q sub y plus R sub z,$P_{x}+Q_{y}+R_{z}$ ,https://www.youtube.com/watch?v=WfEQabCGAqI,p sub x plus q sub y plus r sub z.,P sub x plus Q sub y plus R sub z.
four thirds pi a cubed,$\frac{4}{3}\pi a^{3}$,https://www.youtube.com/watch?v=WfEQabCGAqI,four thirds by eký út,4 thirds by A cubed.
partial u over partial x squared plus partial squared u over partial y squared plus partial squared u over partial z squared,$\displaystyle \frac{\partial u}{\partial x^{2}}+\frac{\partial^{2}u}{\partial y^ {2}}+\frac{\partial^{2}u}{\partial z^{2}}$,https://www.youtube.com/watch?v=wu8kXZSAp20,partial u over partial x squared plus partial squared u over partial y squared plus partial squared u over partial z squared.,partial u over partial x squared plus partial squared u over partial y squared plus partial squared u over partial z squared.
" partial u partial t is minus div F, which is therefore positive k times divergence of grad u",$\displaystyle \frac{\partial\mathbf{u}}{\partial t}=\operatorname{-\nabla}\mathbf{F}=k\operatorname{\nabla}(\operatorname{\nabla}\mathbf{u})$,https://www.youtube.com/watch?v=seO7-TwXH_I,"The partial u, partial t, is minus dv, which is therefore positive k times divergence of grad u.","Partial u, partial t is minus div F, which is therefore positive k times divergence of grad u."
dx is 3t2 dt,$dx=3t^{2}dt$,https://www.youtube.com/watch?v=seO7-TwXH_I,dx is fratisquare dt,dx is 3t squared dt.
dy will be 2t dt,$\displaystyle \mathrm{d}\mathrm{y}=2{t}{\mathrm{d}t}$,https://www.youtube.com/watch?v=seO7-TwXH_I,D y will be 2t dt,dy will be 2t dt.
the integral of yz dx plus xz dy plus xy dz,"$\int yz\,dx+xz\,dy+xy\,dz$",https://www.youtube.com/watch?v=seO7-TwXH_I,the integral of yz dx plus xz dy plus xy dz.,The integral of yz dx plus xz dy plus xy dz.
dx is 3t squared dt,$\displaystyle dx={3t}^{2}dt$,https://www.youtube.com/watch?v=seO7-TwXH_I,which dx is fratis squared dt.,dx is 3t squared dt.
xy is t to the five,$xy=t^{5}$,https://www.youtube.com/watch?v=seO7-TwXH_I,"x, y is t to the 5.","x, y is t to the 5."
six t to the five,$\displaystyle 6t^{5}$,https://www.youtube.com/watch?v=seO7-TwXH_I,"6th, T to the 5th.",6t to the 5.
b y z squared minus 4z cubed ,$byz^{2}-4z^{3}$,https://www.youtube.com/watch?v=seO7-TwXH_I,"B, Y, this squared minus 4th e cubed.",z squared minus 4z cubed.
x squared plus z cubed,$x^{2}+z^{3}$,https://www.youtube.com/watch?v=seO7-TwXH_I,x squared plus z cubed.,x squared plus z cubed.
three yz squared minus four z cubed,$3yz^{2}-4z^{3}$,https://www.youtube.com/watch?v=seO7-TwXH_I,3yz squared minus 4z cubed.,3yz squared minus 4z cubed.
 f sub x is two xy,$f_{x}=2xy$,https://www.youtube.com/watch?v=seO7-TwXH_I,f sub x is 2x y.,F sub x is 2xy.
f equals x squared y plus g,$f=x^{2}y+g$,https://www.youtube.com/watch?v=seO7-TwXH_I,f equals x squared y plus g.,f equals x squared y plus g.
yz cubed plus h of z,$yz^{3}+h(z)$,https://www.youtube.com/watch?v=seO7-TwXH_I,y is acubed plus h of z.,yz cubed plus h of c.
zero plus three yz squared,$0+3yz^{2}$,https://www.youtube.com/watch?v=seO7-TwXH_I,0 plus freewise squared.,zero plus three yz squared.
R sub y minus Q sub z times i plus P sub z minus R sub x times j ,$(R_{y}-Q_{z})i+(P_{z}-R_{x})j$,https://www.youtube.com/watch?v=seO7-TwXH_I,R sub y minus q sub z times i plus p sub z minus R sub x times j.,r sub y minus q sub z times i plus p sub z minus r sub x times j.
partial over partial y of r minus partial partial z of q,$\displaystyle \frac{\partial}{\partial y}(R)-\frac{\partial}{\partial z}(Q)$,https://www.youtube.com/watch?v=seO7-TwXH_I,partial of the partial y of r minus partial partial z of q.,"partial over partial y of r minus partial, partial z of q."
two to the n ,$2^{\mathcal{n}}$,https://www.youtube.com/watch?v=oI9fMUqgfxY,2 to the end.,Two to the end
 6 times 1 plus 4 plus 9 plus 16 plus 25 plus 36,$6\times(1+4+9+16+25+36)$,https://www.youtube.com/watch?v=oI9fMUqgfxY,6 times 1 plus 4 plus 9 plus 16 plus 25 plus 36.,6 times 1 plus 4 plus 9 plus 16 plus 25 plus 36.
r over t times t,$\frac{r}{t}t$,https://www.youtube.com/watch?v=oI9fMUqgfxY,VAR over T times T.,VAR over t times t.
two plus a half divided by two is one and a quarter.,$(2+\frac{1}{2})\div2=1+\frac{1}{4}$,https://www.youtube.com/watch?v=oI9fMUqgfxY,Two plus a half divided by two is one and a quarter.,2 plus 1 by 2 is 1 and 1 quarter.
x is c times the expected value of r,$x =c\cdot\operatorname*{\mathbb{E}}[r]$,https://www.youtube.com/watch?v=q4mwO2qS2z4,x is c times the expected value of r.,X is C times the expected value of R.
u minus expected value of r over u minus x,$\displaystyle u - \operatorname*{\mathbb{E}}\left[r\right]\over{u-x}$,https://www.youtube.com/watch?v=q4mwO2qS2z4,This is u minus expected value of r over u minus x.,This is u minus expected value of r over u minus x.
1 over C squared plus 1,$\frac{1}{C^{2}+1}$,https://www.youtube.com/watch?v=q4mwO2qS2z4,1 over c squared plus 1.,1 over c squared plus 1.
 1 over 2c squared,$\frac{1}{2c^{2}}$,https://www.youtube.com/watch?v=q4mwO2qS2z4,One over two C-squards.,1 over 2 c squared.
z is c natural log of c plus 1,$z=c\ln(c)+1$,https://www.youtube.com/watch?v=q4mwO2qS2z4,z is c natural log of c plus 1.,Z is C natural log of C plus 1.
c minus 1 times the sum j equals 1 to n expected value of tj,$(c-1)\cdot\sum_{j=1}^{n}\mathbb{E}[t_j]$ ,https://www.youtube.com/watch?v=q4mwO2qS2z4,See minus 1 times the sum j equals 1 to n expected value of tj.,"C minus 1 times the sum j equals 1 to n, expected value of Tj."
e to the minus c log of c plus c minus 1,$e^{-(c\log(c)+c-1)}$,https://www.youtube.com/watch?v=q4mwO2qS2z4,e to the minus c log of c plus c minus 1.,e to the minus c log of c plus c minus 1.
 negative c minus one,$\displaystyle -(c-1)$,https://www.youtube.com/watch?v=q4mwO2qS2z4,Negative C minus 1.,Negative C minus one.
dy dx equal y squared,$\frac{dy}{dx}=y^{2}$,https://www.youtube.com/watch?v=76WdBlGpxVw,dy dx equal y square.,dy dx equal y squared.
 y of x equals minus 1 over x plus c,$y(x)=-\frac{1}{x+c}$,https://www.youtube.com/watch?v=76WdBlGpxVw,y of x equals minus 1 over x plus c.,y of x equals minus 1 over x plus c.
 y of x equals 1 over 1 minus x,$y(x)=\frac{1}{1-x}$,https://www.youtube.com/watch?v=76WdBlGpxVw,y of x equals 1 over 1 minus x.,y of x equals 1 over 1 minus x.
y dot plus ty equals to t,$y\dot{+}ty=t$,https://www.youtube.com/watch?v=4gJLEYc3p5w,y dot plus t y equals to t.,y dot plus t y equals to t.
y of 0 equals to 3,$y(0)=3$,https://www.youtube.com/watch?v=4gJLEYc3p5w,y of 0 equals to 3.,y of 0 equals to 3.
 u equals exponential of t squared over 2,$u=\exp(t^{2}/2)$,https://www.youtube.com/watch?v=4gJLEYc3p5w,u equals exponential of t squared over 2.,u equals exponential of t squared over 2.
 exponential of minus t squared over 2,$\exp(-t^{2}/2)$,https://www.youtube.com/watch?v=4gJLEYc3p5w,exponential of minus t squared over 2.,exponential of minus t squared over 2.
3 equals to 1 plus c,"$3=1+c,$",https://www.youtube.com/watch?v=4gJLEYc3p5w,3 equals to 1 plus c.,3 equals to 1 plus c.
exponential of t squared over 2 minus 1,$\exp(t^{2}/2)-1$,https://www.youtube.com/watch?v=4gJLEYc3p5w,exponential of t squared over 2 minus 1.,The exponential of t squared over 2 minus 1.
 b modulus r ,$b\mod r$,https://www.youtube.com/watch?v=sn3orkHWqUQ,"B, modulus R.",The models are.
pi over 2,$\frac{\pi}{2}$,https://www.youtube.com/watch?v=sn3orkHWqUQ,Pi over two.,Pi over 2.
3i pi over 6 ,$3i(\pi/6)$,https://www.youtube.com/watch?v=sn3orkHWqUQ,3i pi over 6.,3i pi over 6.
3 sine pi over 6,$3\sin(\pi/6)$,https://www.youtube.com/watch?v=sn3orkHWqUQ,3 sine pi over 6.,3 sine pi over 6.
 3 root of 3 over 2,$3\sqrt{\frac{3}{2}}$,https://www.youtube.com/watch?v=sn3orkHWqUQ,3 root of 3 over 2,3 root of 3 over 2.
a plus ib ,$a+\mathrm{i}b$,https://www.youtube.com/watch?v=sn3orkHWqUQ,A plus IB.,A plus IB.
 1 over minus 2 plus 3i,$\frac{1}{-2+3i}$,https://www.youtube.com/watch?v=sn3orkHWqUQ,1 over minus 2 plus 3i.,1 over minus 2 plus 3i.
 reverse tan of minus 3 over 2,$\tan^{-1}(-\frac{3}{2})$,https://www.youtube.com/watch?v=sn3orkHWqUQ,Reverse 10 of minus 3 over 2.,Reverse 10 of minus 3 over 2.
exponential 2n pi,$\exp(2n\pi)$,https://www.youtube.com/watch?v=sn3orkHWqUQ,exponential 2n pi.,is exponential to n pi.
0 modulus 2 pi,$0\mod2\pi$,https://www.youtube.com/watch?v=sn3orkHWqUQ,0 modulus 2 pi.,0 modulus 2 pi.
n equals to 2,$(n\!=\!2)$,https://www.youtube.com/watch?v=sn3orkHWqUQ,and equals to 2.,n equals to 2.
i dot i minus one,$i(i-1)$,https://www.youtube.com/watch?v=fkGAF5jHjdY,I dot I minus 1.,i dot i minus 1.
1 over k squared plus omega squared,$\frac{1}{k^{2}+\omega^{2}}$,https://www.youtube.com/watch?v=fkGAF5jHjdY,1 over k squared plus summa g s squared.,1 over k squared plus omega squared.
k sine omega t,$k\sin\omega t$,https://www.youtube.com/watch?v=fkGAF5jHjdY,"Okay, sine omega t.",k sine omega t.
cosine omega t plus three sine omega t,$\cos\omega t+3\sin\omega t$,https://www.youtube.com/watch?v=fkGAF5jHjdY,cosine omega t plus 3 sine omega t.,Cosine omega t plus 3 sine omega t.
 plus minus three omega cosine omega t,$\pm3\omega\cos\omega t$,https://www.youtube.com/watch?v=fkGAF5jHjdY,plus minus a 3 omega cosine omega d.,plus or minus 3 omega cosine omega t.
 exponential of minus three t,$\exp(-3t)$,https://www.youtube.com/watch?v=XbiEUwVQqVM,Exponential minus 3t.,exponential minus 3t.
 8 root 4 minus 5i,$8\sqrt{4}-5{i}$,https://www.youtube.com/watch?v=XbiEUwVQqVM,by the current density ofgrine.,8 root 4 minus 5i.
 root 4 plus or minus 5i,$\mathrm{\sqrt{4}}\pm5i$,https://www.youtube.com/watch?v=XbiEUwVQqVM,root 4 plus or minus 5 i.,root 4 plus or minus 5i
e 4t cosine 5t ,$\displaystyle e^{4t}\cos(5t)$ ,https://www.youtube.com/watch?v=XbiEUwVQqVM,.,"E, 4t cosine 5t."
C1 exponential lambda 1 plus C2 exponential lambda 2,$\displaystyle C_{1}\exp(\lambda_{1})+C_{2}\exp(\lambda_{2})$,https://www.youtube.com/watch?v=2-5oq-igwtU,"c1 exponential lambda 1, the c2 exponential lambda 2,","C1 exponential lambda 1, the C2 exponential lambda 2 with C1."
x dot of 0 equals to 0,$\dot{x}(0)={0}$,https://www.youtube.com/watch?v=2-5oq-igwtU,x dot of 0 equals to 0.,x dot of 0 equals to 0.
lambda1 c1 plus lambda2 c2 equals to 0,$\lambda_{1}C_{1}+\lambda_{2}C_{2}=0$,https://www.youtube.com/watch?v=2-5oq-igwtU,lambda 1 c1 plus lambda 2 c2 equals to 0.,lambda 1 C1 plus lambda 2 C2 equals to 0.
log of minus c2 over c1,$\log{((-c_{2})/{c_{1}})}$,https://www.youtube.com/watch?v=2-5oq-igwtU,log of minus C2 over C1.,Log of minus c2 over c1.
 minus c2 over c1 is less than 1,$-\frac{c2}{c1}<1$,https://www.youtube.com/watch?v=2-5oq-igwtU,minus C2 of Rc1 is less than 1.,Minus C2 over C1 is less than 1.
 P D equals D squared plus 4i,$P(D)=D^{2}+4i$,https://www.youtube.com/watch?v=RzaB0t9dx0A,pt equals d squared plus 4i.,Your pd equals d squared plus 4i.
x dot dot plus 4x equal f0,$x\ddot{x}+4x=f0$,https://www.youtube.com/watch?v=RzaB0t9dx0A,x dot dot plus 4x equals f0.,x dot dot plus 4x equal f0.
 s squared plus 4,$(s^{2}+4)$,https://www.youtube.com/watch?v=RzaB0t9dx0A,s squared plus 4.,s squared plus 4.
 s squared equal minus 4,$s^{2}=-4$,https://www.youtube.com/watch?v=RzaB0t9dx0A,"S, Q, Q, or minus 4.",s squared equal minus 4.
 4 minus omega squared,$4-\omega^{2}$,https://www.youtube.com/watch?v=RzaB0t9dx0A,4 minus omega square.,4 minus omega squared.
exponential i omega t,$\exp(i\omega t)$,https://www.youtube.com/watch?v=RzaB0t9dx0A,Exponential ioremmalia chi.,Exponential i-Omediacy.
omega equals to 2t,$\omega\mathrm{=}2\mathrm{t}$,https://www.youtube.com/watch?v=RzaB0t9dx0A,"Oh, media equals to too pun.",Omega equals to 2t.
 delta t minus 2 exponential of t squared sine t cos 2t,$\delta(t-2)\exp(t^{2})\sin t\cos 2t$,https://www.youtube.com/watch?v=q0PxCQWG3ic ,"Delta T minus 2, exponential of T square sine T cost 2T.","Delta t minus 2, exponential of t squared sine t cos 2t."
delta t exponential of t squared dt,$\delta(t)\exp(t^{2})dt$,https://www.youtube.com/watch?v=q0PxCQWG3ic ,Delta T exponential of T squared dt,Delta t exponential of t squared dt.
3u t minus 2u t minus 1,$3u(t)-2u(t-1)$,https://www.youtube.com/watch?v=q0PxCQWG3ic ,3uT minus 2uT minus 1,3 u t minus 2 u t minus 1.
 exponential t squared dt,$\exp(t^{2})dt$,https://www.youtube.com/watch?v=q0PxCQWG3ic ,exponential t square d t.,exponential t squared dt.
4 sine 2 cos 4,$4\sin2\cos4$,https://www.youtube.com/watch?v=q0PxCQWG3ic ,"4, sine 2, cos 4.",4 sine 2 cos 4.
 f of t equals three u t,$f(t)=3u(t)$,https://www.youtube.com/watch?v=q0PxCQWG3ic ,F of t equals 3 ut.,f of t equals 3 u t.
 minus two u of t minus one,$-2u(t-1)$,https://www.youtube.com/watch?v=q0PxCQWG3ic ,minus 2 u t minus 1.,Minus 2 u t minus 1.
 seven x dots plus three x equals f of t,$7x\dot{+}3x=f(t)$,https://www.youtube.com/watch?v=LjqUV6vqwkg,7x dot plus 3x equals f of t.,7x dot plus 3x equals f of t.
minus 3C1 minus 1 half C2 equals to 0,$-3C_{1}-\frac{1}{2}C_{2}=0$,https://www.youtube.com/watch?v=LjqUV6vqwkg,minus 3C1 minus 1.5C2 equals to 0.,Minus 3c1 minus 1 half c2 equals to 0.
C2 exponential minus one half t minus exponential minus three t,$\displaystyle {C_2}(\exp(-\frac{1}{2}t)-\exp(-3t))$,https://www.youtube.com/watch?v=LjqUV6vqwkg,c2 exponential minus 1 half t minus exponential minus 3t.,C2 exponential minus 1 half t minus exponential minus 3t.
 c1 equals minus 2,$\mathrm{c_1}=-2$,https://www.youtube.com/watch?v=LjqUV6vqwkg,C1 equal minus 2.,C1 equal minus 2.
one minus exponential of minus two t,$1-\exp(-2t)$,https://www.youtube.com/watch?v=LjqUV6vqwkg,1 minus exponential of minus 2t.,1 minus exponential of minus 2t.
 i squared equals negative one,$i^{2}=-1$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,I squared equals negative one.,i squared equals negative 1.
a squared plus b squared ,$a^{2}+b^{2}$ ,https://www.youtube.com/watch?v=EQJBp6Ym-6A,j squared plus b squared.,a squared plus b squared.
two plus i divided by one minus 3i,$\frac{2+i}{1-3i}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,2 plus i divided by 1 minus 3i.,2 plus i divided by 1 minus 3i.
one squared plus three squared,$1^{2}+3^{2}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,1 squared plus 3 squared.,One squared plus three squared.
 r cosine theta plus i times r sine theta,$r\cos\theta+i\times r\sin\theta$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,The R cosine theta plus i times R sine theta.,The r cosine theta plus i times r sine theta.
a to the x times a to the y equals a to the x plus y,$a^{x}\times a^{y}=a^{x+y}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,A to the x times a to the y equals a to the x plus y.,times a to the y equals a to the x plus y.
dy dt equals a times y,$\frac{dy}{dt}=ay$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,d y dt equals a times y.,dy dt equals A times y.
e to the i theta two,$e^{i\theta_{2}}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,Z to the I-Fator 2.,z to the i theta 2
sine of theta one plus theta two,$\sin(\theta_{1}+\theta_{2})$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,Sign of beta 1 plus theta 2.,sine of theta one plus theta two.
e to the i theta times r2 e to the i theta two,$e^{i\theta}\times r_{2}e^{i\theta_{2}}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,e to the i beta times r2 e to the i beta 2.,times r2 e to the i theta two.
e to the i theta one plus theta two,$e^{i(\theta_{1}+\theta_{2})}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,Z to the I theta one plus theta two.,z to the i theta one plus theta two.
e to the negative x cosine x,$e^{-x}\cos x$,https://www.youtube.com/watch?v=EQJBp6Ym-6A,e to the negative x cosine x.,e to the negative x cosine x.
e to the i omega t divided by two plus three i,$e^{i\omega t}/(2+3i)$,https://www.youtube.com/watch?v=2IBWxERRjvM,e to the i omega t divided by 2 plus 3i.,e to the i omega t divided by 2 plus 3i
e to the i omega t divided by root 13 e to the i phi,$\frac{e^{i\omega t}}{\sqrt{13}e^{i\phi}}$,https://www.youtube.com/watch?v=2IBWxERRjvM,e to the i omega t divided by root 13 e to the i phi,e to the i omega t divided by root 13 e to the i phi.
1 over root 13 cosine omega t minus phi,$\displaystyle \frac{1}{\sqrt{13}}\cos(\omega t-\phi)$,https://www.youtube.com/watch?v=2IBWxERRjvM,One of a root 13 cosine omega t minus phi.,Is 1 over root 13 cosine omega t minus phi.
